MHK258	MHK259	MHK260	MHK261	MHK262	MHK263	MHK264	MHK266	MHK267	MHK268	MHK269	MHK270
Clostridioides difficile	0.0374057483408317	0.233038649773026	-0.767262706651521	-0.108404599570207	-0.396086672021989	0.660302986223774	0.755368098020502	-0.756089406053396	0.413981846596859	0.0222155828468571	0.177822927170579	-0.272292454675324
Roseburia rectibacter	0.319502391868414	0.0783403350515259	-0.561697020194471	-0.463256947381218	-0.633155984176616	0.99098807564718	0.968846949769967	-0.495005645695798	0.743835984280961	-0.31807493753672	0.00283278254338093	-0.633155984176616
Kineothrix sp. IPX-CK	0.0587174811073536	-0.1939848724484	-0.663988501694136	-0.644185874397956	-0.356503801946175	0.467413609796965	0.81761603923008	0.32182829282863	0.976948077799335	-0.219302680432691	0.427934798823177	-0.992492568666172
Bacteroides zhangwenhongii	-0.16791095540366	0.0794972179101805	0.433428675903162	0.277674146493929	0.158485629228811	-0.339761212330319	-0.776975018753063	-0.00626960384724384	-0.404299733467891	0.404158293603049	0.158485629228811	0.183486931434229
Streptomyces sp. NBC_01775	0.0518624673243302	0.223712724250989	-0.322830982117081	-0.235819605127451	-0.523501677579231	0.323796182807971	-0.523501677579231	0.223712724250989	0.0518624673243302	0.53737028310603	0.275006018638539	-0.0816689253001925
Blautia coccoides	-0.179967246453297	-0.00327950737759863	-0.683330149017698	-0.506600405489522	-0.466900535642837	0.91188064212627	0.772947918448508	-0.337870275899106	0.88202767897659	-0.0475600810410555	0.206593707015715	-0.547941745645963
Pseudoprevotella muciniphila	-0.189349133467296	0.0570512800111809	0.254582255468664	0.0454904576101054	-0.0521480119538111	-0.132190719627348	-0.517036540532776	0.0909528316868622	-0.297982974470091	0.336075289719847	0.112931738405638	0.291623527149014
Duncaniella freteri	-0.0440718477541182	-0.111894444092879	0.53869312204827	0.123455012900834	-0.120705073775034	-0.134068301587202	-0.654657427621044	0.137224593624591	-0.281143919319481	0.241045463096825	0.0213627881461012	0.28476003433313
Lawsonibacter asaccharolyticus	0.15496084557136	0.389912416641786	-0.786524229875545	-0.786524229875545	-0.53338248267594	0.934918740935051	1.24010673090045	-0.474450704299604	0.487757452049299	-0.163693547733059	0.493494702439442	-0.956575694077685
uncultured Caproiciproducens sp.	-0.105508049250423	0.262216730874893	-0.510973157358588	-0.693294714152541	-0.510973157358588	0.788309826771673	0.955363911434839	-0.356822477531329	0.788309826771673	-0.105508049250423	-0.000147533592596005	-0.510973157358588
Clostridium sp. SY8519	0.0412097282003234	0.0130388512336275	-0.597870231089346	-0.709095866199569	-0.497786772532364	0.957500460074479	0.923598908398797	-0.497786772532364	0.67719849492032	-0.0765733074560595	0.264353279514533	-0.497786772532364
Kineothrix sp. MB12-C1	-0.0805263263271243	0.0420759957652077	-0.677046671197998	-0.75928476943497	-0.271581563089834	0.481157714672357	0.760540984309444	0.339327519233139	1.10146757128004	-0.254189820377965	0.300487685916876	-0.98242832074918
Pseudomonas putida	0.140179191299387	0.0734878168007143	-0.0749321883175593	-0.654750683570501	-0.202765559827444	0.577392997722131	0.512854476584559	-0.34936903401932	0.202699548280719	-0.0749321883175593	-0.0749321883175593	-0.0749321883175593
Qiania dongpingensis	-0.0251374805158777	0.12389809864461	-0.5847532684513	-0.439571258606803	-0.466970232794917	0.649991194541389	0.777824566051274	-0.495141109761613	0.685709277143468	-0.0251374805158777	0.212190705790288	-0.412903011524642
Elizabethkingia anophelis	-0.198863091312285	0.119590639806249	-0.0810800556559013	-0.0810800556559013	-0.332394483936808	0.0242804600019255	-0.486545163764067	0.0242804600019255	0.49428408924766	0.286644724469415	0.206602016795879	0.0242804600019255
Staphylococcus aureus	-0.536430099730739	0.107926916659775	-0.362076712585961	1.65548942537579	-0.32285599943268	-0.362076712585961	-0.362076712585961	0.00256640100194794	-0.213656707467687	0.310867760656465	0.331070467973984	-0.248748027278958
Duncaniella sp. B8	0.287307647237514	-0.179741446839335	0.400880921025619	0.232402936862747	0.0427025591507895	-0.368200681822497	-0.466258696794822	0.16351342989085	-0.304817181026185	0.0517586990658168	-0.230390855816239	0.37084266906574
Providencia rettgeri	-0.608597309588999	0.218081263595469	0.0104418988172235	0.153542742457898	0.084549870970946	0.335864299251853	0.153542742457898	-0.357282881308093	-0.608597309588999	0.218081263595469	0.0104418988172235	0.389931520522127
Barnesiella sp. An22	-0.184209314212105	0.00710780549042678	0.410913162180227	0.171863038566483	0.0697789124532031	-0.354554679959344	-0.577698231273554	0.0170088764731382	-0.298984828804533	0.291051555831601	0.119903299635771	0.32782040361869
Shigella flexneri	-0.833462805245258	0.234377824756098	0.597283318445466	0.406228081682757	0.552831555874633	-1.43959860881557	-0.928772985049582	-0.140315624685313	-0.458769355803847	0.529842037649934	0.552831555874633	0.927525005316044
Emergencia timonensis	0.173379293789733	0.0992713216360102	-0.673918566597472	-0.519767886770213	-0.38623649414569	0.901617794160948	0.712375794522419	-0.519767886770213	0.306910686414255	-0.0677827630271555	0.242372165276684	-0.268453458489306
Aeromonas veronii	-0.162544886920969	0.105719099673712	-0.162544886920969	-0.424909151388459	-0.424909151388459	0.530602293638976	0.317028193340917	0.105719099673712	0.0450944778572762	-0.0194440432802949	0.0450944778572762	0.0450944778572762
Thermocaproicibacter melissae	0.160976667260595	0.229969538747547	-0.175495569360617	-0.686321193126609	-0.53217051329935	0.566441775368759	0.923116719307492	-0.398639120674828	0.517651611199327	-0.0801853895562932	0.160976667260595	-0.686321193126609
Sodaliphilus pleomorphus	-0.196560697841297	-0.0195348286220529	0.421665612538859	0.158352131104036	0.0180962395955939	-0.258286277602254	-0.547217569454467	0.0543624175799877	-0.31610584849108	0.279148454891701	0.0946363167179278	0.311444049583052
Vescimonas coprocola	-0.121512392289734	0.676995303928038	-0.819113923199059	-0.855481567369934	-0.567799494918154	1.0877795735138	1.31357213299959	-0.610359109336949	0.573854545008524	-0.259498135263637	0.348491236956002	-0.766928170028489
Enterocloster asparagiformis	0.0773751257052808	0.218075007808417	-0.667444065398985	-0.608603565376051	-0.475072172751529	0.983542849947987	0.932861363471843	-0.450379560161157	0.494759326050656	-0.0368172418203736	0.199146997922898	-0.667444065398985
Bacteroides faecis	-0.104733818433605	0.101758099288163	0.407924986414046	0.187524921045587	-0.104733818433605	-0.18096118382149	-0.621694430767112	0.0637307036989228	-0.231733509194913	0.285322664321714	-0.0169582075512196	0.214553593433507
Bacteroides caccae	-0.0798523465002328	0.337308801371123	0.429796114092743	0.333425301344725	0.112225385239086	-0.479452335155999	-0.821201628878056	0.0726162471440404	-0.259823725949234	0.390151282745503	0.0624638756800229	-0.0976569711337394
Prevotella jejuni	-0.165816145188682	0.149264901451214	0.201908634936635	0.0348545502734687	-0.129448501017807	-0.0604556295308551	-0.517214032026571	0.121865927263099	-0.283599180845066	0.299547104500552	0.121865927263099	0.227226442920926
Anaerobutyricum hallii	-0.06078390591518	0.061818416177152	-0.510700776594178	-0.423689399604548	-0.510700776594178	0.728990110333837	0.823103401904316	-0.631328764382793	0.817097377844104	-0.0901977911214731	0.159456885741069	-0.363064777788114
Achromobacter sp. AONIH1	-0.0249838790032921	-0.130344394661119	0.505644372058878	-0.0249838790032921	0.0703263008010317	-0.0249838790032921	0.0703263008010317	-0.0249838790032921	-0.130344394661119	-0.130344394661119	-0.0249838790032921	-0.130344394661119
Mucispirillum schaedleri	-0.288001540725272	1.90533953658455	-1.27661293417905	-2.66290729529894	0	0.234384905441794	0.206411053399388	0.927532086001739	0.274930999836144	0.177632088849345	1.55476048295515	-1.05346938286484
Anaerocolumna sp. AGMB13025	0.0731089595422993	0.0286571969714657	-0.497435898925314	-0.57747860659885	-0.66448998358848	0.675284361896519	0.829435041723777	-0.423327926771591	0.766256140102245	0.0286571969714657	0.338812125275306	-0.57747860659885
Anaerocolumna sp. AGMB13020	0.0678901774074188	-0.0433354577028044	-0.391642151971022	-0.679324224422801	-0.679324224422801	0.706970136697088	0.861120816524347	-0.391642151971022	0.90764083215924	-0.0433354577028044	0.258945414170128	-0.573963708764975
Variovorax paradoxus	-0.0998341193027503	0.0543165605245068	0.00552639635507468	-0.0998341193027503	-0.282155676096705	0.228669947669285	0.18784795314903	-0.0998341193027503	-0.0998341193027503	0.145288338730234	0.0543165605245068	0.00552639635507468
Escherichia coli	0.421194918656324	-0.39527547793562	-0.0859542303803575	0.127972665828928	0.239977724205422	-0.370582865345249	-0.61841902924983	-0.358461504812904	-0.244702619456246	0.846715393577837	0.629869658850617	-0.19233463393893
Faecalibacterium sp. I4-1-79	-0.0144992827012072	0.221889495363023	-0.525324906467198	-0.643107942123581	-0.419964390809371	0.832798577685996	0.941012162326229	-0.419964390809371	0.496326341064783	-0.0144992827012072	0.321972953920005	-0.776639334748104
Paraprevotella xylaniphila	-0.260002763438467	0.0708514808785221	0.27407972249179	0.202620758509646	-0.0486936697712608	-0.221536482610671	-0.608309457706683	0.084837722853262	-0.385165906392474	0.393139082507779	0.190198238511089	0.307981274167472
Bradyrhizobium diazoefficiens	-0.255204665529986	0.0896358207617425	0.0470762063429468	-0.198046251690037	-0.255204665529986	0.0896358207617425	0.0470762063429468	0.00262444377211324	-0.0438955718627803	0.207418856418126	0.312779372075953	-0.0438955718627803
uncultured Draconibacterium sp.	-0.13732107840165	-0.0260954432914255	0.186465998692247	-0.000119956888164907	-0.000119956888164907	-0.0801626645617013	-0.331477092842607	0.0975185126757516	-0.262484221355655	0.228138695092816	0.0975185126757516	0.228138695092816
Alistipes communis	0.0934568279003702	0.257913171136455	0.59785373725711	0.359834302492372	0.542371167716484	-0.731055940081828	-0.489619195720293	-0.646290673454118	-0.806940637606701	0.49948389162883	0.550945711141066	-0.227952362409747
Christensenella massiliensis	0.261443971281809	0.20428555744186	-0.549486244934521	-0.431703209278137	-0.431703209278137	0.629168751407125	0.83680811618537	-0.431703209278137	0.20428555744186	-0.0639784291528205	0.20428555744186	-0.431703209278137
Bacteroides sp. PHL 2737	-0.0722099333099031	0.126241005413935	-0.25942147539805	0	0	0	0	0	0	0.0208804897561086	0.184509913537911	0
Enterococcus faecalis	-0.10382134739773	0.316032498162534	-0.466726841087098	-0.43259383471764	-0.367635938442867	0.60133077925904	0.567346926443441	-0.531265362224669	0.69902475041864	0.208906756980139	-0.00281813710885892	-0.48778025028493
Blautia liquoris	-0.11765792371258	0.0936511699546259	-0.753646690432577	-0.64828617477475	-0.64828617477475	0.786798350514572	0.855791222001523	-0.311813938153538	1.1762631172763	-0.0604995098726313	0.0936511699546259	-0.465964617980797
Ruminococcus bicirculans (ex Wegman et al. 2014)	0.155029279646037	-0.116904435837604	-0.250435828462127	0.20154929528093	0.0549458210890545	0.442711352097819	0.368603379944096	-0.586908065083339	-0.0562798140211687	-0.116904435837604	0.155029279646037	-0.250435828462127
Bacteroides xylanisolvens	-0.0592626795251645	0.177356407153626	0.398079068473457	0.277522105934348	0.0346540492723602	-0.314649157285595	-0.78126868854709	0.107623069138951	-0.251700882971359	0.277522105934348	-0.00807880031360853	0.14220340273573
Phocaeicola vulgatus	0.135467510920286	-0.10080721604893	0.294859229010531	0.103304808211345	0.126876392787969	-0.407815322993087	-0.536519337159181	0.286067963599361	-0.094327711737944	0.0319112785495248	-0.109512385276261	0.270494790136391
uncultured Carboxylicivirga sp.	-0.260187710620231	-0.0370441593060207	0.250637913145759	0.145277397487934	-0.0370441593060207	-0.0370441593060207	-0.547869783072011	0.0881189836479859	-0.260187710620231	0.299428077315191	0.145277397487934	0.250637913145759
Chryseobacterium indologenes	-0.495560088355054	0.0152655354109363	0.0798040565485074	0.140428678364943	-0.127835308229738	-0.127835308229738	-0.390199572697227	0.0798040565485074	0.0798040565485074	0.302947607862716	0.140428678364943	0.302947607862716
Eubacterium maltosivorans	0.0571069806322893	0.219625910130063	-0.696664821744092	-0.473521270429881	-0.378211090625557	1.00808327049433	1.00808327049433	-0.473521270429881	0.401947466924018	-0.291199713635928	-0.00351764118414621	-0.378211090625557
Bacteroides thetaiotaomicron	-0.122384150123915	0.249028815238334	0.335538058147616	0.230791227688552	0.0198429494681607	-0.257788787130118	-0.711919067219564	0.0606649439884164	-0.298610781650374	0.341047713958585	0.0786834494910948	0.0751056281432101
Turicibacter faecis	1.98712423380561	-0.974706488072702	2.41531759299133	1.80824502120263	1.22251808926352	-2.76646595730076	-1.38017159618087	-2.76646595730076	0	-2.07331877674081	2.20334734227524	0.32457649605756
Pseudomonas fluorescens	-0.164076685221351	0.0770853715955369	-0.164076685221351	-0.164076685221351	-0.482530416339886	0.433760315534268	0.529070495338594	0.0029773994418143	0.0029773994418143	-0.0770653082317221	0.0029773994418143	0.0029773994418143
uncultured Mailhella sp.	-0.555644571443331	0.425184681568396	-0.267962498991549	-0.267962498991549	-0.267962498991549	0.697118397052037	0.83064978967656	-0.555644571443331	0.137502609116614	-0.0448189476773386	0.137502609116614	-0.267962498991549
Anaerostipes hadrus	-0.173382333848007	0.102871042780151	-0.491836064966542	-0.268692513652333	-0.556374586104113	0.760926903528826	0.49677532848724	-0.625367457591064	0.778626480628227	0.0314120787980059	0.319094151249787	-0.374053029310158
Faecalibacterium sp. i21-0019-B1	0.254365648479526	0.290733292650401	-0.643575944726432	-0.643575944726432	-0.643575944726432	0.890354415199523	0.696198400758566	-0.556564567736803	0.484889307091358	0.136582612823142	0.136582612823142	-0.402413887909544
Hymenobacter oligotrophus	-0.237269499419673	0.0728854288841667	0.409357665505379	0.0728854288841667	0.0728854288841667	-0.332579679223997	-0.437940194881824	0.00389255739721506	-0.437940194881824	0.360567501335947	0.198048571838173	0.255206985678122
Lachnoclostridium phocaeense	0.0377351004962092	-0.0428453861631297	-0.563038759932721	-0.505880346092773	-0.462395234153034	0.832040430742903	0.910512046184397	-0.563038759932721	0.54726956849858	-0.0152574296443015	0.225418600431549	-0.400519830434946
Selenomonas ruminantium	-0.261704727396273	0.277291773336414	-0.415855407223532	-0.261704727396273	-0.261704727396273	0.927879339477563	0.736824102714854	-0.598176964017485	0.190280396346784	-0.261704727396273	0.190280396346784	-0.261704727396273
Wansuia hejianensis	-0.0416745244317491	0.0986828332631742	-0.643254511466203	-0.361842052028018	-0.668572319450494	0.602339967550551	0.671812340365319	-0.380890246998713	0.595119719577065	0.110517290910177	0.565705834370772	-0.547944331661879
Anaerostipes rhamnosivorans	0.337967399420675	-0.00497735170615599	-0.611113155276472	-0.698124532266101	-0.456962475449213	0.795800493046155	1.03111457998062	-0.698124532266101	0.592859649049465	-0.100287531510482	0.199817060939857	-0.387969603962262
Bacteroides cellulosilyticus	-0.057322671637337	0.0146508279877517	0.291861600572237	0.120011343645579	-0.057322671637337	-0.0723605490018775	-0.548443224323996	0.0146508279877517	-0.349992285600157	0.322952187642269	0.0946935356612881	0.226621078703836
Bacteroides fragilis	-0.142028935816611	0.0636553941258304	0.0830358456754929	0.00107190782406263	-0.209134852459427	0.0714527045858624	-0.563242400892914	0.179915200241693	-0.306246139144577	0.358163431648012	0.227543249230948	0.235814594981624
Bacillus amyloliquefaciens	0.632173854085952	0.420864760418747	0.478023174258695	0	-0.21512400630125	-0.21512400630125	0.0725580661505294	0.478023174258695	0.420864760418747	-0.802910671203369	-0.802910671203369	-0.466438434582157
Delftia tsuruhatensis	-0.430105587905761	0.164601519840932	0.231292894339605	-0.0672000942163926	0.231292894339605	-0.258255330979102	0.0931425558587868	-0.206962036591552	-0.563636980530283	0.323666214470619	0.129510200029662	0.352653751343872
Muribaculum gordoncarteri	0.292859696290353	-0.0503825986507895	-0.272579699318279	0.0807364513777715	0.187723825340133	-0.367725981160426	-0.434991196866516	0.439264817776603	0.115548712499827	-0.162029656609914	-0.18373186045131	0.355307489772546
Eggerthella lenta	0.0725063219286692	0.129664735768618	-0.121649692512289	-0.275800372339548	-0.362811749329177	0.458168802740653	0.673280182357599	-0.458121929133501	0.0725063219286692	-0.121649692512289	0.129664735768618	-0.195757664666012
Adlercreutzia hattorii	-0.107591665069311	0.323191251023143	0.16067232152537	-0.274645749732477	-0.107591665069311	0.418501430827469	0.7614461819543	-0.475316445194627	-0.187634372742847	-0.107591665069311	-0.0334836929155884	-0.3699559295368
Prevotella histicola	-0.178062204710258	0.087640961022748	0.0537394093470667	0.0537394093470667	-0.135502590291463	0.0186480895357963	-0.605506219537197	0.152179482160319	-0.269033982915985	0.4000156460649	0.152179482160319	0.269962517816702
Prevotella sp. E2-28	-0.237319963594006	0.101453770015486	0.157334228409943	0.135355321691168	-0.0739949074907065	-0.130347844041838	-0.535812952150002	0.157334228409943	-0.286916904733378	0.326893533590047	0.135355321691168	0.250666168202162
Stutzerimonas stutzeri	-0.446586797739398	0.246560382820547	0.0642388260265925	-0.00475404546035918	-0.0788620176140817	0.189401968980599	0.246560382820547	-0.245916102277247	-0.158904725287618	0.0642388260265925	-0.00475404546035918	0.128777347164164
Agathobacter rectalis	-0.132963210066396	0.240413583490269	-0.382775008462766	-0.48214748227597	-0.661488410931787	0.947949501502314	0.621427595734269	-0.836692499956878	0.702231628149565	0.0580920266963139	0.350112500746693	-0.424160224625621
Prevotella veroralis	-0.131865443767438	0.189718180360024	-0.0334253709541859	-0.00265371228743305	-0.280285448885712	0.0843576647021971	-0.45463883603049	0.214410792950395	-0.321107443405968	0.432664358970413	0.138424885972473	0.164400372375733
Aminipila luticellarii	-0.0366130844012531	0.613974481739897	-0.57560958513394	-0.57560958513394	-0.729760264961199	0.656534096158692	0.613974481739897	-0.324295156853033	0.569522719169063	0.474212539364737	0.0434296232722833	-0.729760264961199
Caproicibacterium sp. BJN0003	0.0261287306101252	0.362600967231337	-0.66701844994982	-0.484696893155867	-0.66701844994982	0.768066075339501	1.15753084210123	-0.484696893155867	0.613915395512244	-0.0792317850477016	0.121438910414449	-0.66701844994982
Segatella bryantii	-0.00413260242944524	0.129398790195077	-0.104216060986428	-0.0529227665988774	-0.276066317913086	0.352542341509288	-0.409597710537609	0.209441497868614	-0.409597710537609	0.352542341509288	0.0423874132054483	0.170220784715333
Caproicibacter fermentans	-0.0408555233587453	0.552208198644218	-0.687482688283797	-0.888153383745948	-0.520428603620632	0.884913952469955	1.16311728096719	-0.446320631466909	0.675822154611395	-0.252164617025951	0.00566449227614818	-0.446320631466909
Bacillus velezensis	-0.0653870686216944	-0.227905998119468	-0.0165969044522623	0.11693448817226	-0.496169984714149	0.652452724528623	0.745543147594635	-0.422062012560426	0.0743748737534649	-0.227905998119468	-0.116680363009245	-0.0165969044522623
Bacteroides salyersiae	-0.110032185775331	0.086678108470724	0.331023867435537	0.172200281908886	0.022139587333152	-0.237371608151932	-0.571377752277952	0.0125701363170014	-0.327755669620201	0.32400629477689	0.0777094384879637	0.220209501095247
Lachnoanaerobaculum gingivalis	-0.0466575219418939	0.127695865202885	-0.606273309877317	-0.318591237425535	-0.606273309877317	1.03595442537978	0.492338978790793	-0.606273309877317	0.492338978790793	0.0443142562638332	0.310017421996839	-0.318591237425535
Chitinophaga pollutisoli	-0.140560594636126	-0.0352000789782991	0.301272157642913	-0.0352000789782991	-0.0352000789782991	-0.140560594636126	-0.391875022917032	0.147121477815654	-0.25834363029251	0.301272157642913	0.0601101008260247	0.22716418548919
Blautia massiliensis (ex Durand et al. 2017)	0	0	0	0	-0.177188639883796	0.725900580131823	-0.0710087878425671	0	0	0	0	-0.477703152405462
uncultured Alistipes sp.	0.132815214837724	0.280981014980684	0.614219619034832	0.349220306929336	0.572363858243546	-0.758004158188117	-0.519411695932859	-0.644889353750284	-0.84338376978984	0.509196428392855	0.580771684967292	-0.27387914972517
Faecalibacterium sp. I2-3-92	-0.242895249248418	0.504319152581802	-0.830681914150537	-0.648360357356584	-0.494209677529325	1.11522823490478	1.27345224011967	-0.648360357356584	0.817976711436843	-0.242895249248418	0.0447868232033617	-0.648360357356584
Parabacteroides merdae	-0.22797630289968	0.039086482349366	0.3575402134679	0.142883276031009	0.0545906688853313	-0.248595590102415	-0.482210441283921	-0.00892273683699507	-0.358596485316744	0.311020197833008	0.184268492193864	0.236912225679285
Enterobacter hormaechei	0.1947827388259	-0.309773271926495	0.0311533150440972	-0.0866297206122857	-0.279001613259743	0.249842516008927	0.335364689447089	-0.164591262081998	-0.0619371080219144	0.156316457998104	0.213474871838052	-0.279001613259743
Alistipes senegalensis	0.213151310442954	0.340923424333903	0.678550173301941	0.406135572980949	0.676625244892357	-0.826008108311683	-0.651654721166905	-0.731091551814941	-0.911839544161465	0.528397899441378	0.65913208744484	-0.382321787383321
Prevotella scopos	-0.282220911375935	0.123244196732228	0.203286904405765	0.164066191252484	-0.282220911375935	0.123244196732228	-0.656914360817346	0.164066191252484	-0.282220911375935	0.441697927850763	0.203286904405765	0.0806845823134328
Bacteroides sp. DH3716P	-0.0573144959844347	0.280163271138797	0.471655379904959	0.343444721086317	0.0988462347708481	-0.535804739107489	-0.73647543456964	0.0107389672605809	-0.259551362479331	0.343444721086317	0.00413828322922871	0.0367144536638415
Faecalibacterium sp. IP-1-18	-0.0327354457095659	0.497892805352604	-0.725882626269511	-0.949026177583722	-0.389410389648299	0.660411734850378	1.19103998591255	-0.255878997023776	0.755721914654703	-0.0327354457095659	0.229628818757924	-0.949026177583722
Butyricimonas faecihominis	-0.124878662029556	-0.124878662029556	0.471808252342827	0.136601038028201	-0.113449966205933	-0.124878662029556	-0.530343770137721	0.063173569473383	-0.260053440397809	0.237526956618161	0.00433306945044976	0.365040276917121
Collinsella aerofaciens	0.0888661872140108	0.200091822324234	-0.346451884043836	-0.547122579505986	-0.346451884043836	0.65685022481995	0.752160404624274	-0.346451884043836	0.0888661872140108	-0.105289827226947	0.251385116711784	-0.346451884043836
Roseburia sp. 831b	-0.2423339913258	0.178879473750504	-0.612707779622694	-0.396484671153059	-0.546016405124021	1.13799020280759	0.604963869061404	-0.721907071587687	0.815786935987573	-0.12985600789911	0.0630476582253818	-0.151362213120073
Desulfovibrio piger	-0.173490366655885	0.162981869965327	-0.0781801868515615	-0.173490366655885	-0.0781801868515615	0.414296298246233	0.468363519516508	-0.396633917970096	-0.0781801868515615	-0.0781801868515615	0.0888738978116042	-0.0781801868515615
Maliibacterium massiliense	0.256682362635623	0.256682362635623	-0.58164682776882	-0.58164682776882	-0.463863792112436	0.740109012213499	0.894259692040758	-0.463863792112436	0.359336516695707	-0.0961390119871197	0.201112511480813	-0.521022205952384
Mediterraneibacter gnavus	0.184612724537558	0.0628078506533543	-0.705643712970722	-0.550695266846666	-0.387697982879113	0.800294149458472	0.960269574374601	-0.481383466956437	0.695896958722042	-0.106132137444769	0.16842740011654	-0.640756090764847
Homo sapiens	-0.437854441011254	0.0238884712271155	-0.229073132520928	1.6650750819758	-0.0791705474424313	-0.452587672524237	-0.421534949182653	-0.128919025053675	-0.0514609660146714	0.249793183982653	0.158427420611938	-0.296583424047657
Hungatella hathewayi	0.0244136774197026	0.0150239370698628	-0.678123243490083	-0.605363889207654	-0.443722537651237	0.858946836440541	0.950006801956171	-0.357955715893813	0.726863250641961	-0.058358608864161	0.130708336069326	-0.56243884449062
Tannerella serpentiformis	-0.259296225885341	-0.00207336091826882	0.364858083187653	0.168147788941599	0.105346887702568	-0.402397069526014	-0.516341328875233	0.038336177419608	-0.314104462380336	0.28302806494002	0.176805851684713	0.35768959370904
Chitinophaga horti	0.0264072402678952	-0.060604136721734	0.106449947941432	0.0264072402678952	0.0264072402678952	-0.155914316526058	-0.261274832183885	0.106449947941432	-0.261274832183885	0.106449947941432	0.0264072402678952	0.314089312719677
Lachnoclostridium phytofermentans	0.253955967836673	-0.125533653868231	-0.125533653868231	-0.744572862274454	-0.744572862274454	0.676812818656707	1.29850103523451	-0.744572862274454	0.775252891469959	0.0821057109100138	0.142730332726449	-0.744572862274454
Enterococcus faecium	-0.46073706266641	0.451772946367839	-0.113540862682221	-0.0243097289542789	-0.0743201495289405	0.70476946083173	0.0687806941117328	-0.646839342300271	0.193943837065739	-0.256641706322895	-0.182533734169173	0.339655648247133
Lacrimispora sp. BS-2	-0.0779455950662857	0.145197956247924	-0.710468153809796	-0.547949224312022	-0.452639044507697	0.718998379175303	0.704813744183347	-0.247844631861684	0.675826207310094	-0.0173209732498512	0.21751861782755	-0.408187281936863
[Clostridium] hylemonae	0.0298179370070963	0.146077743122959	-0.597079858011648	-0.522971885857926	-0.597079858011648	0.75663833267363	0.833108696665468	-0.453979014370975	0.622160418445077	-0.055948884750328	0.293235387459246	-0.453979014370975
Prevotella sp. Rep29	-0.164249813128767	0.16158402528739	0.00564922366663101	-0.04564407072092	-0.249243025962159	0.095261382356318	-0.474404741432607	0.198333567496132	-0.273734045970455	0.423536851773352	0.17749948059329	0.145411166041789
Bacteroides eggerthii	-0.176447785547161	0.115688637254	0.148478460076991	0.0678979734176517	-0.15874820844776	0.0103281215961735	-0.525498804375235	0.12893386400402	-0.309979178171684	0.336161960012331	0.122333179972668	0.240851780208006
